data;tmin;tmax;tmed
19/11/2006;19;16.5;17.8
20/11/2006;20.6;14;16
21/11/2006;26.4;13.5;18.9
22/11/2006;28.5;16;20.1
23/11/2006;29.4;14;21.9
24/11/2006;29.2;17.5;21.3
25/11/2006;26;16;20.1
26/11/2006;27.8;18;21
27/11/2006;23;18;19.6
28/11/2006;22;16;19.4
29/11/2006;27.4;18.5;21.2
30/11/2006;25.8;17.5;20
01/12/2006;23.5;14;17.9
02/12/2006;27.4;14;20.3
03/12/2006;29;16.5;22.5
04/12/2006;28.6;19.5;22.9
05/12/2006;30.4;17.5;22.4
06/12/2006;23.3;19.2;20.7
07/12/2006;27;16;21.2
08/12/2006;23.6;15;19.1
09/12/2006;27.5;16;19.5
10/12/2006;25;15;19.2
11/12/2006;26.5;16;20.6
12/12/2006;25.4;16.5;19.7
13/12/2006;26.3;13.5;20.4
14/12/2006;29.5;19;22.2
15/12/2006;30.6;18.5;23.4
16/12/2006;32;16.8;24.4
17/12/2006;32;19;24.6
18/12/2006;30.6;19;23.7
19/12/2006;27.3;20;22.3
20/12/2006;27;19;21.8
21/12/2006;23.5;19.5;21.4
22/12/2006;26.6;18;20.5
23/12/2006;25.6;16.8;21.1
24/12/2006;24.1;18;20.3
25/12/2006;26.1;15;19.3
26/12/2006;25.2;16;19
27/12/2006;29;14;20.9
28/12/2006;29.8;19;23.6
29/12/2006;29.2;20.2;23.6
30/12/2006;28;20.2;22.6
31/12/2006;26.4;17;21.2
01/01/2007;26.8;16;21.3
02/01/2007;27;20;22.1
03/01/2007;26.8;19;21.6
04/01/2007;27.3;19.5;22.2
05/01/2007;27;19.5;21.8
06/01/2007;25.6;21;22.6
07/01/2007;24.4;19.4;21.1
08/01/2007;21.4;15.5;18.7
09/01/2007;28;16;20.9
10/01/2007;30.6;18;23.7
11/01/2007;27.8;20.2;22.2
12/01/2007;25.8;19;20.9
13/01/2007;27.4;17;20.1
14/01/2007;28;12;20.1
15/01/2007;28;17;22.1
16/01/2007;24.6;17;19.5
17/01/2007;25;16;21.2
18/01/2007;27.6;17.5;21.9
19/01/2007;30;17;21.9
20/01/2007;26;16.5;20.7
21/01/2007;27.5;15;20.7
22/01/2007;23.5;15;19.2
23/01/2007;27.8;16.5;21.1
24/01/2007;29.4;18.5;22.7
25/01/2007;29.6;18.5;22.9
26/01/2007;25.2;19.5;21.3
27/01/2007;28.6;19.8;23.9
28/01/2007;29;17.5;21.7
29/01/2007;22.6;17;19.7
30/01/2007;29.2;16;21.8
05/10/2007;26.4;12;19.4
06/10/2007;26;12;19.6
07/10/2007;23.4;16;19.5
08/10/2007;21.5;14.5;17
09/10/2007;24;17;20.5
10/10/2007;26;16;20.7
11/10/2007;21.5;16;18.8
12/10/2007;18.6;16.4;17.2
13/10/2007;19.6;15.4;17
14/10/2007;18;14;15
15/10/2007;15.4;10;12.7
16/10/2007;19.5;13;15.5
17/10/2007;24.5;10.2;16.5
18/10/2007;23.5;12;17.5
19/10/2007;25.4;13.4;18.5
20/10/2007;28.6;13.8;20.4
21/10/2007;17.6;13.8;15.6
22/10/2007;24.5;9.2;17
23/10/2007;17.8;13.2;15
24/10/2007;18;12.6;14.8
25/10/2007;21;12.4;16.9
26/10/2007;29;15.2;20.3
